iter	Logloss
0	0.6590849325
1	0.6337673997
2	0.6139438091
3	0.5988779349
4	0.586960157
5	0.5785177029
6	0.5713436388
7	0.5660816173
8	0.5614139579
9	0.5575596519
10	0.5547373258
11	0.5520297267
12	0.5499574048
13	0.5482818347
14	0.5468875774
15	0.5454863257
16	0.5442191112
17	0.5430624038
18	0.5422783502
19	0.5416286381
20	0.5410471359
21	0.5404962752
22	0.5399405096
23	0.5394616545
24	0.5390900903
25	0.5387839699
26	0.5383008149
27	0.5380094232
28	0.5377411347
29	0.5374590447
30	0.537232133
31	0.5369436303
32	0.5366927452
33	0.5365349655
34	0.5363492885
35	0.5363273531
36	0.5360351631
37	0.5358553778
38	0.5357464694
39	0.5355752772
40	0.5354930533
41	0.5353187831
42	0.5351984846
43	0.5350837723
44	0.5349824643
45	0.5348116258
46	0.5346989349
47	0.5345441247
48	0.534440431
49	0.5343547779
50	0.5342763332
51	0.5342130519
52	0.5341542381
53	0.5340889236
54	0.5339901328
55	0.5339069879
56	0.5338486728
57	0.5337685556
58	0.5337025455
59	0.5336176972
60	0.5335581169
61	0.5334318614
62	0.5333467461
63	0.5332598874
64	0.5331661049
65	0.5331062631
66	0.5330480734
67	0.5329610902
68	0.532896354
69	0.5328276548
70	0.5327569271
71	0.5327197646
72	0.5326825827
73	0.5326434066
74	0.5325835337
75	0.5325305593
76	0.5324695652
77	0.5324163409
78	0.5323739343
79	0.5323359392
80	0.5322962217
81	0.5322569377
82	0.5321989934
83	0.5321525623
84	0.5321016886
85	0.5320569142
86	0.5320143228
87	0.5319797201
88	0.5319417687
89	0.5318983205
90	0.5318664783
91	0.5318276297
92	0.5317791087
93	0.5317166405
94	0.5316701194
95	0.5316509215
96	0.5315788256
97	0.531505051
98	0.5314754589
99	0.5314421527
100	0.5314031113
101	0.531338296
102	0.5312911529
103	0.5312355744
104	0.5311877367
105	0.5311463551
106	0.5311046217
107	0.5310549979
108	0.5310051539
109	0.5309654965
110	0.5309301757
111	0.5308757979
112	0.5308202735
113	0.5307862724
114	0.5307243307
115	0.5306889391
116	0.5306259071
117	0.5305631713
118	0.5305063871
119	0.5304547931
120	0.5304059855
121	0.5303519476
122	0.5302956527
123	0.5302587229
124	0.5301993043
125	0.5301551507
126	0.530114473
127	0.5300711146
128	0.5300253957
129	0.529968879
130	0.5299288845
131	0.5299005392
132	0.5298407642
133	0.5298106273
134	0.5297775546
135	0.5297255158
136	0.5296853442
137	0.529650924
138	0.5296181445
139	0.529570695
140	0.5295043006
141	0.5294566241
142	0.529421827
143	0.5293834036
144	0.529348932
145	0.5292979086
146	0.5292619015
147	0.5292265313
148	0.5291934082
149	0.529155664
150	0.5291221263
151	0.5290860606
152	0.5290429106
153	0.5289974113
154	0.5289571092
155	0.5289099863
156	0.5288725525
157	0.5288321873
158	0.5287968367
159	0.5287709186
160	0.5287220772
161	0.5286886585
162	0.5286565302
163	0.5286203143
164	0.5285878894
165	0.5285480674
166	0.528504565
167	0.5284671434
168	0.528431862
169	0.5283767231
170	0.5283368213
171	0.5283014129
172	0.5282536119
173	0.5282229213
174	0.5281888675
175	0.5281617847
176	0.5281181665
177	0.5280923671
178	0.5280517775
179	0.5280011655
180	0.5279574406
181	0.527911714
182	0.5278728387
183	0.5278361632
184	0.5278119777
185	0.5277690799
186	0.5277301396
187	0.5277003965
188	0.5276613269
189	0.5276318191
190	0.5276091175
191	0.5275882822
192	0.5275440123
193	0.5275025248
194	0.5274734453
195	0.5274454707
196	0.5274063769
197	0.5273678938
198	0.5273471091
199	0.5273143079
200	0.527265018
201	0.5272276559
202	0.5272013782
203	0.5271728658
204	0.5271292007
205	0.5270796319
206	0.5270281655
207	0.5269942009
208	0.5269489611
209	0.5269051816
210	0.5268658656
211	0.5268226732
212	0.5267882456
213	0.5267595415
214	0.5267168736
215	0.5266848516
216	0.5266561216
217	0.5266153416
218	0.5265961606
219	0.5265622238
220	0.5265221226
221	0.5264803442
222	0.5264416392
223	0.5263989144
224	0.5263749039
225	0.526343353
226	0.5263115068
227	0.5262746761
228	0.5262389568
229	0.5262099227
230	0.526176331
231	0.5261496995
232	0.5261186892
233	0.5260900877
234	0.5260583976
235	0.526028163
236	0.5259933659
237	0.5259680992
238	0.5259245082
239	0.5258882992
240	0.5258505642
241	0.5258241955
242	0.5257842358
243	0.5257494572
244	0.5257032093
245	0.5256795391
246	0.5256566076
247	0.5256126098
248	0.5255774858
249	0.5255461858
250	0.5255037181
251	0.5254744574
252	0.5254458344
253	0.5254118608
254	0.5253756538
255	0.5253350772
256	0.525308657
257	0.5252917755
258	0.5252580952
259	0.5252151514
260	0.5251872689
261	0.5251570779
262	0.5251195263
263	0.5250724838
264	0.5250308187
265	0.5249960025
266	0.5249661829
267	0.5249362195
268	0.5248863399
269	0.5248617282
270	0.524834824
271	0.5248027126
272	0.5247648213
273	0.5247225548
274	0.5246965329
275	0.5246610692
276	0.5246271405
277	0.5245957508
278	0.524556119
279	0.5245211634
280	0.5244889913
281	0.5244517799
282	0.5244219604
