n_particles,n_iterations,model,n_selected,selected_features,accuracy_pso,f1_pso,precision_pso,recall_pso,accuracy_baseline,f1_baseline,precision_baseline,recall_baseline,n_features_baseline,delta_accuracy,delta_f1
5,5,catboost,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7215499746321664,0.48041466474166294,0.35238359779174333,0.7545724907063197,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.008168442415017796,-0.007091047276423124
5,10,catboost,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7215499746321664,0.48041466474166294,0.35238359779174333,0.7545724907063197,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.008168442415017796,-0.007091047276423124
5,15,catboost,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7215499746321664,0.48041466474166294,0.35238359779174333,0.7545724907063197,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.008168442415017796,-0.007091047276423124
10,5,catboost,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7215499746321664,0.48041466474166294,0.35238359779174333,0.7545724907063197,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.008168442415017796,-0.007091047276423124
10,10,catboost,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7215499746321664,0.48041466474166294,0.35238359779174333,0.7545724907063197,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.008168442415017796,-0.007091047276423124
15,5,catboost,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7217021816336885,0.4795654545885813,0.3521195443937441,0.7515985130111524,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.00801623541349572,-0.007940257429504771
15,10,catboost,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7217021816336885,0.4795654545885813,0.3521195443937441,0.7515985130111524,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.00801623541349572,-0.007940257429504771
10,15,catboost,11,"AGE, WGHT (lbs), HGHT (ft), INCOME_LEVEL, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, EXER_STATUS, HIGH_BP, CHOL_MEDS, HAD_HEARTDISEASE",0.7228310502283105,0.47896995708154505,0.35254475254475254,0.7467657992565055,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.006887366818873697,-0.008535754936541018
15,15,catboost,11,"SEX, AGE, BMI, EMPLOYMENT_STATUS, INCOME_LEVEL, INSR_STATUS, DCTR_STATUS, GEN_HLTH, SMOK_STATUS, HIGH_CHOL, CHOL_MEDS",0.7207382039573821,0.47744048607979495,0.35066067008332463,0.7478066914498142,0.7297184170471842,0.48750571201808607,0.36030431227558746,0.7535315985130111,23,-0.008980213089802125,-0.010065225938291122
10,15,logistic_regression,11,"AGE, WGHT (lbs), HGHT (ft), INCOME_LEVEL, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, EXER_STATUS, HIGH_BP, CHOL_MEDS, HAD_HEARTDISEASE",0.7230339928970066,0.4772574930575505,0.351952545724172,0.7411152416356878,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,0.0004566210045662267,-0.0025998196653983507
